> x=-6.568, y=-6.855, z=24.274
FracGL -> x=-7.076, y=-8.265, z=23.458
FracGL -> x=-7.083, y=-8.278, z=23.456
FracGL -> x=-7.090, y=-8.291, z=23.454
FracGL -> x=-7.096, y=-8.304, z=23.453
FracGL -> x=-7.103, y=-8.317, z=23.451
FracGL -> x=-7.109, y=-8.330, z=23.449
FracGL -> x=-7.116, y=-8.343, z=23.447
FracGL -> x=-7.123, y=-8.356, z=23.446
FracGL -> x=-7.129, y=-8.369, z=23.444
FracGL -> x=-7.136, y=-8.382, z=23.443
FracGL -> x=-7.143, y=-8.395, z=23.442
FracGL -> x=-7.150, y=-8.408, z=23.441
FracGL -> x=-7.157, y=-8.421, z=23.439
FracGL -> x=-7.164, y=-8.434, z=23.438
FracGL -> x=-7.171, y=-8.447, z=23.437
FracGL -> x=-7.177, y=-8.460, z=23.437
FracGL -> x=-7.184, y=-8.474, z=23.436
FracGL -> x=-7.192, y=-8.487, z=23.435
FracGL -> x=-7.199, y=-8.500, z=23.435
FracGL -> x=-7.206, y=-8.513, z=23.434
FracGL -> x=-7.213, y=-8.526, z=23.434
FracGL -> x=-7.220, y=-8.539, z=23.433
FracGL -> x=-7.227, y=-8.553, z=23.433
FracGL -> x=-7.234, y=-8.566, z=23.433
FracGL -> x=-7.242, y=-8.579, z=23.433
FracGL -> x=-7.249, y=-8.592, z=23.433
FracGL -> x=-7.256, y=-8.606, z=23.433
FracGL -> x=-7.264, y=-8.619, z=23.433
FracGL -> x=-7.271, y=-8.632, z=23.433
FracGL -> x=-7.278, y=-8.645, z=23.433
FracGL -> x=-7.286, y=-8.659, z=23.434
FracGL -> x=-7.293, y=-8.672, z=23.434
FracGL -> x=-7.301, y=-8.685, z=23.435
FracGL -> x=-7.308, y=-8.699, z=23.436
FracGL -> x=-7.316, y=-8.712, z=23.436
FracGL -> x=-7.324, y=-8.725, z=23.437
FracGL -> x=-7.331, y=-8.739, z=23.438
FracGL -> x=-7.339, y=-8.752, z=23.439
FracGL -> x=-7.347, y=-8.765, z=23.440
FracGL -> x=-7.354, y=-8.779, z=23.442
FracGL -> x=-7.362, y=-8.792, z=23.443
FracGL -> x=-7.370, y=-8.806, z=23.444
FracGL -> x=-7.378, y=-8.819, z=23.446
FracGL -> x=-7.386, y=-8.832, z=23.447
FracGL -> x=-7.393, y=-8.846, z=23.449
FracGL -> x=-7.401, y=-8.859, z=23.451
FracGL -> x=-7.409, y=-8.872, z=23.453
FracGL -> x=-7.417, y=-8.886, z=23.455
FracGL -> x=-7.425, y=-8.899, z=23.457
FracGL -> x=-7.433, y=-8.913, z=23.459
FracGL -> x=-7.441, y=-8.926, z=23.461
FracGL -> x=-7.449, y=-8.940, z=23.463
FracGL -> x=-7.458, y=-8.953, z=23.466
FracGL -> x=-7.466, y=-8.966, z=23.468
FracGL -> x=-7.474, y=-8.980, z=23.471
FracGL -> x=-7.482, y=-8.993, z=23.473
FracGL -> x=-7.490, y=-9.007, z=23.476
FracGL -> x=-7.499, y=-9.020, z=23.479
FracGL -> x=-7.507, y=-9.033, z=23.482
FracGL -> x=-7.515, y=-9.047, z=23.485
FracGL -> x=-7.523, y=-9.060, z=23.488
FracGL -> x=-7.532, y=-9.074, z=23.491
FracGL -> x=-7.540, y=-9.087, z=23.494
